Date,Open,High,Low,Close,Volume
2022-02-21,1705.08,1711.98,1674.03,1682.07,20816
2022-02-22,1665.09,1666.08,1605.1,1612.95,52299
2022-02-23,1616.49,1639.08,1605.16,1632.09,28112
2022-02-24,1613.08,1619.07,1553.18,1569.19,65359
2022-02-25,1580.08,1613.36,1580.08,1604.14,38979
2022-02-28,1592.14,1602.08,1572.08,1595.48,28923
2022-03-01,1607.08,1668.65,1607.08,1663.56,47379
2022-03-02,1645.08,1656.07,1630.08,1649.96,20074
2022-03-03,1650.88,1655.33,1599.08,1605.08,31547
2022-03-04,1577.08,1597.97,1560.18,1585.58,31047
2022-03-07,1565.28,1573.08,1508.88,1512.08,49156
2022-03-08,1565.06,1591.74,1537.08,1558.28,57215
2022-03-09,1569.18,1610.08,1526.19,1584.26,56434
2022-03-10,1613.08,1626.08,1596.08,1599.51,36462
2022-03-11,1571.08,1582.08,1523.16,1574.09,47727
2022-03-14,1535.08,1555.08,1505.08,1505.08,49007
2022-03-15,1455.08,1490.08,1408.08,1408.08,89056
2022-03-16,1439.08,1488.98,1398.08,1480.03,77593
2022-03-17,1525.08,1560.08,1516.74,1525.23,68352
2022-03-18,1523.08,1550.08,1497.36,1512.87,38349
2022-03-21,1529.08,1530.73,1500.09,1509.38,27877
2022-03-22,1528.96,1528.96,1491.41,1500.08,21054
2022-03-23,1510.08,1575.08,1502.08,1557.27,58067
2022-03-24,1543.08,1545.08,1522.43,1526.01,25815
2022-03-25,1517.08,1539.08,1490.08,1495.08,29709
2022-03-28,1430.08,1469.88,1409.08,1465.88,57542
2022-03-29,1466.58,1496.58,1466.58,1472.08,25935
2022-03-30,1503.08,1535.18,1500.08,1535.18,42433
2022-03-31,1525.08,1543.68,1513.88,1524.08,25174
2022-04-01,1535.02,1598.08,1526.77,1585.09,44862
2022-04-06,1558.08,1593.81,1558.08,1570.08,27820
2022-04-07,1563.08,1590.08,1555.18,1570.08,20196
2022-04-08,1573.08,1593.78,1571.62,1589.08,22941
2022-04-11,1575.08,1575.08,1511.11,1525.08,43864
2022-04-12,1534.08,1593.05,1513.08,1587.08,41630
2022-04-13,1572.08,1600.08,1556.16,1574.08,31148
2022-04-14,1593.08,1640.98,1585.28,1614.08,37650
2022-04-15,1607.28,1623.08,1600.97,1611.07,21041
2022-04-18,1586.21,1603.08,1573.08,1595.9,19793
2022-04-19,1605.08,1638.07,1580.58,1595.38,24205
2022-04-20,1606.77,1625.08,1573.76,1602.08,24156
2022-04-21,1595.28,1611.08,1575.08,1585.06,28953
2022-04-22,1568.08,1592.96,1565.26,1578.08,27900
2022-04-25,1555.08,1581.58,1507.08,1513.08,53658
2022-04-26,1508.41,1554.06,1505.08,1537.56,44564
2022-04-27,1572.2,1615.08,1572.2,1600.0,57402
2022-04-28,1598.08,1650.08,1591.58,1640.08,44010
2022-04-29,1641.08,1654.08,1616.06,1633.46,34885
2022-05-05,1635.08,1675.08,1634.06,1642.08,33661
2022-05-06,1620.07,1624.08,1586.08,1598.08,28596
2022-05-09,1585.08,1585.08,1543.08,1557.08,30352
2022-05-10,1525.08,1590.04,1510.09,1571.27,40119
2022-05-11,1560.08,1593.56,1557.08,1573.08,30313
2022-05-12,1558.08,1583.08,1555.08,1567.75,22038
2022-05-13,1585.08,1603.02,1571.08,1583.32,20731
2022-05-16,1602.08,1602.08,1547.75,1563.08,27765
2022-05-17,1574.96,1580.08,1560.08,1573.08,20145
2022-05-18,1578.74,1579.0,1548.1,1566.08,24850
2022-05-19,1550.08,1562.08,1544.08,1561.08,19776
2022-05-20,1565.07,1606.23,1557.08,1605.09,41950
2022-05-23,1605.08,1608.97,1577.08,1586.08,22157
2022-05-24,1591.08,1592.08,1560.58,1565.08,27342
2022-05-25,1570.35,1577.08,1552.08,1560.59,22389
2022-05-26,1566.08,1566.08,1535.08,1547.88,28053
2022-05-27,1565.07,1585.08,1558.09,1560.24,25120
2022-05-30,1571.08,1595.63,1571.08,1583.49,34466
2022-05-31,1579.85,1619.98,1572.06,1609.11,40751
2022-06-01,1607.08,1619.86,1584.08,1593.33,21760
2022-06-02,1593.05,1600.88,1585.08,1591.08,16915
2022-06-06,1595.08,1600.08,1563.08,1593.08,36741
2022-06-07,1589.22,1630.08,1575.39,1622.98,35049
2022-06-08,1630.08,1687.08,1630.08,1670.68,44354
2022-06-09,1677.08,1693.43,1654.08,1658.08,26329
2022-06-10,1650.09,1712.08,1640.08,1705.68,47345
2022-06-13,1695.08,1697.08,1653.16,1661.08,36755
2022-06-14,1639.08,1680.5,1637.08,1676.08,29416
2022-06-15,1675.08,1710.08,1668.07,1680.18,33664
2022-06-16,1699.67,1712.71,1680.41,1682.08,26887
2022-06-17,1683.17,1757.08,1683.17,1756.08,50542
2022-06-20,1755.08,1775.08,1735.08,1747.1,34975
2022-06-21,1754.08,1772.07,1733.08,1750.82,23717
2022-06-22,1760.08,1763.08,1737.08,1741.08,19647
2022-06-23,1747.78,1770.12,1745.08,1762.18,26844
2022-06-24,1775.08,1825.08,1770.08,1814.09,39635
2022-06-27,1825.02,1855.02,1805.38,1815.63,40115
2022-06-28,1824.82,1846.08,1806.08,1841.08,25246
2022-06-29,1833.08,1847.08,1816.09,1835.08,30360
2022-06-30,1826.76,1903.76,1826.75,1871.76,38982
2022-07-01,1881.76,1894.53,1841.97,1855.81,21596
2022-07-04,1846.77,1851.05,1827.77,1844.76,25076
2022-07-05,1852.04,1881.21,1836.76,1859.77,26329
2022-07-06,1858.76,1865.76,1812.76,1828.76,32752
2022-07-07,1831.76,1836.11,1811.77,1816.76,20932
2022-07-08,1831.76,1841.65,1822.92,1825.76,15644
2022-07-11,1816.96,1821.53,1777.26,1790.36,23949
2022-07-12,1791.76,1799.56,1756.82,1775.17,23447
2022-07-13,1771.76,1798.76,1767.43,1785.65,19854
2022-07-14,1786.76,1803.56,1767.76,1779.76,20527
2022-07-15,1771.87,1826.44,1771.27,1776.26,33416
2022-07-18,1779.12,1785.76,1748.76,1778.42,24221
2022-07-19,1771.76,1778.41,1752.76,1769.86,21956
2022-07-20,1785.51,1796.76,1771.76,1776.86,18705
2022-07-21,1769.86,1782.66,1761.27,1765.76,14061
2022-07-22,1775.98,1788.76,1761.76,1773.76,25114
2022-07-25,1776.27,1779.06,1757.76,1771.41,16912
2022-07-26,1779.75,1791.73,1773.78,1776.97,20685
2022-07-27,1768.76,1774.76,1743.76,1746.36,21490
2022-07-28,1747.86,1764.76,1719.42,1724.76,34870
2022-07-29,1721.86,1745.75,1704.86,1725.2,37032
2022-08-01,1716.77,1734.76,1707.94,1717.06,21037
2022-08-02,1706.76,1714.74,1684.77,1706.74,28221
2022-08-03,1716.75,1730.76,1703.76,1711.76,24598
2022-08-04,1716.76,1749.86,1706.89,1742.77,30357
2022-08-05,1754.56,1761.76,1731.66,1750.72,20086
2022-08-08,1741.91,1759.64,1734.27,1738.29,16799
2022-08-09,1738.29,1745.75,1731.76,1736.76,13875
2022-08-10,1736.74,1744.76,1691.34,1702.76,27927
2022-08-11,1712.76,1733.76,1704.77,1733.66,26061
2022-08-12,1733.66,1756.76,1726.76,1754.76,20260
2022-08-15,1747.22,1766.26,1742.31,1746.65,19323
2022-08-16,1750.7,1760.55,1742.76,1744.6,14836
2022-08-17,1756.76,1756.76,1721.76,1744.76,18361
2022-08-18,1734.76,1739.84,1707.83,1722.26,23168
2022-08-19,1724.76,1735.11,1714.76,1721.77,13544
2022-08-22,1711.77,1733.76,1708.14,1720.74,15427
2022-08-23,1725.36,1725.36,1693.76,1696.77,23756
2022-08-24,1696.75,1701.99,1677.76,1680.96,18728
2022-08-25,1685.76,1714.76,1680.96,1711.76,21925
2022-08-26,1726.76,1738.76,1712.76,1724.76,23142
2022-08-29,1709.76,1726.73,1700.76,1705.58,13570
2022-08-30,1709.11,1711.76,1680.96,1696.76,18235
2022-08-31,1686.86,1752.32,1686.77,1750.76,44692
2022-09-01,1738.91,1742.76,1707.65,1707.65,26845
2022-09-02,1716.7,1719.72,1692.93,1701.76,19391
2022-09-05,1689.4,1695.76,1646.76,1661.76,36822
2022-09-06,1662.12,1674.96,1651.76,1671.76,20830
2022-09-07,1661.79,1664.42,1637.77,1644.77,28306
2022-09-08,1646.76,1658.76,1641.76,1641.76,16591
2022-09-09,1651.76,1678.76,1642.76,1671.55,27090
2022-09-13,1706.76,1715.14,1684.99,1705.76,28693
2022-09-14,1690.77,1706.76,1689.76,1695.76,16042
2022-09-15,1696.76,1719.88,1696.72,1706.76,20810
2022-09-16,1698.56,1712.36,1681.87,1685.76,24121
2022-09-19,1681.76,1715.35,1679.64,1698.4,18584
2022-09-20,1696.74,1711.36,1685.31,1704.76,14116
2022-09-21,1703.43,1709.76,1674.76,1674.76,20995
2022-09-22,1666.76,1667.78,1643.61,1647.57,22704
2022-09-23,1647.57,1681.76,1647.57,1661.19,28288
2022-09-26,1646.76,1714.76,1646.74,1689.76,35135
2022-09-27,1695.62,1723.76,1677.87,1714.76,28820
2022-09-28,1707.26,1726.16,1700.77,1709.76,21446
2022-09-29,1724.74,1728.94,1697.89,1707.11,21590
2022-09-30,1725.38,1728.75,1692.76,1699.26,21289
2022-10-10,1716.76,1717.76,1606.96,1612.76,48584
2022-10-11,1615.76,1632.76,1586.76,1606.75,32047
2022-10-12,1600.42,1605.76,1534.76,1586.76,48195
2022-10-13,1547.22,1561.76,1523.76,1526.75,63969
2022-10-14,1536.76,1581.76,1528.7,1564.37,46520
2022-10-17,1552.76,1554.75,1524.56,1545.26,33550
2022-10-18,1551.76,1556.76,1527.76,1532.59,28083
2022-10-19,1528.74,1528.74,1474.76,1474.76,60121
2022-10-20,1447.76,1495.19,1437.76,1470.26,42778
2022-10-21,1466.76,1474.56,1436.76,1450.76,38907
2022-10-24,1396.76,1415.76,1314.77,1328.04,132098
2022-10-25,1306.18,1341.76,1298.76,1306.51,81362
2022-10-26,1315.56,1341.75,1286.76,1290.84,81781
2022-10-27,1306.76,1314.74,1210.61,1227.76,107106
2022-10-28,1217.53,1232.76,1185.47,1186.76,93143
2022-10-31,1176.76,1208.77,1159.76,1176.76,71847
2022-11-01,1185.76,1296.16,1185.76,1288.77,118766
2022-11-02,1286.76,1332.76,1262.76,1298.72,79777
2022-11-03,1270.33,1289.26,1254.86,1266.26,45160
2022-11-04,1264.72,1354.53,1264.72,1343.33,80008
2022-11-07,1320.81,1345.24,1313.35,1333.87,42698
2022-11-08,1334.76,1344.75,1295.72,1311.64,39325
2022-11-09,1310.71,1315.64,1276.76,1286.66,36090
2022-11-10,1270.76,1311.76,1261.91,1301.76,37720
2022-11-11,1354.76,1371.21,1321.74,1354.91,73947
2022-11-14,1370.26,1390.29,1354.76,1359.76,57370
2022-11-15,1358.76,1425.73,1347.76,1414.76,56318
2022-11-16,1407.76,1424.76,1394.76,1412.01,26848
2022-11-17,1417.26,1423.06,1379.64,1393.76,30580
2022-11-18,1402.76,1410.76,1382.76,1393.89,23609
2022-11-21,1368.11,1368.11,1325.29,1346.74,39096
2022-11-22,1344.2,1386.5,1342.87,1366.71,29901
2022-11-23,1354.76,1383.76,1347.8,1375.76,22177
2022-11-24,1385.76,1395.64,1340.74,1346.75,27687
2022-11-25,1347.27,1358.76,1336.76,1348.77,18621
2022-11-28,1311.54,1341.76,1277.76,1336.64,47723
2022-11-29,1396.32,1426.76,1377.76,1425.76,73420
2022-11-30,1413.88,1430.76,1411.76,1425.76,31497
2022-12-01,1486.76,1506.76,1457.55,1457.56,51358
2022-12-02,1461.76,1479.75,1447.96,1460.64,23884
2022-12-05,1494.76,1505.76,1475.76,1491.66,36127
2022-12-06,1481.76,1553.66,1478.76,1514.76,44147
2022-12-07,1504.57,1546.76,1496.79,1510.76,35526
2022-12-08,1508.76,1521.76,1491.76,1513.78,19730
2022-12-09,1518.76,1556.76,1508.76,1556.76,39215
2022-12-12,1542.62,1592.76,1541.76,1565.78,34755
2022-12-13,1563.76,1587.45,1556.76,1576.76,21385
2022-12-14,1569.76,1607.56,1569.76,1597.63,29098
2022-12-15,1631.76,1642.76,1606.76,1613.75,30634
2022-12-16,1600.01,1617.76,1569.76,1613.63,33303
2022-12-19,1625.56,1625.56,1586.93,1599.76,24987
2022-12-20,1592.09,1592.09,1509.21,1541.76,46198
2022-12-21,1550.76,1565.76,1544.41,1565.76,22816
2022-12-22,1583.46,1609.76,1571.76,1594.76,23175
2022-12-23,1579.16,1608.76,1571.76,1597.76,17319
2022-12-26,1597.76,1597.76,1561.78,1568.82,21384
2022-12-27,1586.67,1595.82,1574.17,1581.67,17905
2022-12-28,1594.55,1595.67,1556.68,1581.67,21438
2022-12-29,1565.67,1575.66,1549.72,1567.67,22418
2022-12-30,1584.67,1601.66,1575.67,1575.67,25333
2023-01-03,1579.87,1587.1,1554.68,1578.68,26034
2023-01-04,1578.67,1587.37,1564.67,1573.68,20416
2023-01-05,1585.67,1649.67,1581.67,1649.67,47943
2023-01-06,1654.79,1660.57,1635.67,1652.44,24904
2023-01-09,1683.67,1698.65,1656.49,1689.87,30977
2023-01-10,1687.73,1713.17,1679.17,1703.12,22732
2023-01-11,1704.67,1708.67,1685.51,1693.62,22720
2023-01-12,1696.67,1704.67,1681.67,1682.67,17193
2023-01-13,1692.85,1736.67,1688.67,1735.67,31940
2023-01-16,1734.67,1783.67,1729.67,1761.57,36848
2023-01-17,1761.83,1771.67,1743.67,1756.67,21299
2023-01-18,1762.67,1773.97,1738.67,1741.67,21063
2023-01-19,1741.17,1741.19,1714.67,1728.88,23439
2023-01-20,1737.86,1746.92,1706.67,1708.68,25609
2023-01-30,1757.67,1757.67,1728.67,1736.67,35923
2023-01-31,1745.17,1748.62,1681.74,1694.43,32991
2023-02-01,1703.65,1707.67,1660.07,1693.64,33974
2023-02-02,1697.05,1707.67,1674.67,1684.78,29759
2023-02-03,1668.67,1674.67,1644.35,1666.67,34945
2023-02-06,1628.67,1643.67,1608.67,1643.67,42661
2023-02-07,1656.75,1657.47,1636.4,1645.67,24322
2023-02-08,1648.68,1654.64,1623.67,1632.67,16676
2023-02-09,1626.67,1678.42,1623.68,1666.67,29754
2023-02-10,1658.77,1667.16,1649.72,1658.67,17985
2023-02-13,1658.67,1723.17,1658.67,1705.02,38147
2023-02-14,1705.13,1706.07,1683.67,1692.46,19566
2023-02-15,1692.45,1703.97,1684.48,1689.67,18177
2023-02-16,1690.01,1735.67,1676.67,1710.49,33246
2023-02-17,1698.83,1721.67,1668.72,1669.45,26443
2023-02-20,1669.67,1727.47,1665.87,1723.67,29669
2023-02-21,1722.67,1722.67,1699.67,1715.67,18751
2023-02-22,1703.68,1712.57,1680.47,1684.67,21869
2023-02-23,1688.67,1697.47,1653.92,1666.67,21881
2023-02-24,1658.78,1658.86,1630.85,1636.67,24635
2023-02-27,1627.17,1663.67,1623.69,1659.08,22065
2023-02-28,1667.67,1670.68,1631.97,1662.41,23952
2023-03-01,1661.67,1696.67,1651.9,1687.2,24458
2023-03-02,1677.67,1687.66,1669.77,1676.67,13144
2023-03-03,1688.44,1690.28,1651.15,1666.71,16198
2023-03-06,1666.85,1667.17,1645.44,1655.81,20646
2023-03-07,1654.65,1665.27,1636.67,1636.97,22785
2023-03-08,1628.69,1634.61,1609.79,1619.09,22764
2023-03-09,1616.67,1633.67,1588.67,1618.69,27612
2023-03-10,1600.24,1629.67,1598.67,1598.67,21161
2023-03-13,1599.67,1623.67,1597.67,1610.67,20560
2023-03-14,1612.45,1628.55,1587.17,1614.67,23705
2023-03-15,1627.04,1633.55,1598.79,1599.59,19213
2023-03-16,1588.67,1618.67,1587.68,1600.66,17646
2023-03-17,1618.67,1624.56,1584.67,1590.67,27023
2023-03-20,1599.67,1603.67,1576.67,1578.27,20491
2023-03-21,1583.67,1634.52,1572.64,1623.67,31142
2023-03-22,1628.67,1641.67,1614.22,1622.02,15330
2023-03-23,1614.67,1639.78,1613.68,1623.53,17356
2023-03-24,1617.75,1632.27,1614.67,1627.29,12770
2023-03-27,1627.27,1627.27,1604.67,1616.46,15296
2023-03-28,1618.67,1638.67,1613.69,1630.47,17261
2023-03-29,1647.67,1648.67,1633.74,1638.67,15393
2023-03-30,1641.67,1653.67,1627.67,1648.67,19257
2023-03-31,1673.67,1696.67,1667.67,1668.67,27446
2023-04-03,1673.67,1676.44,1648.75,1650.74,21417
2023-04-04,1660.67,1663.84,1635.67,1663.26,20066
2023-04-06,1653.67,1664.57,1636.89,1645.63,14874
2023-04-07,1643.67,1654.68,1637.01,1639.66,13525
2023-04-10,1639.55,1639.55,1592.67,1620.37,29418
2023-04-11,1641.67,1641.67,1592.67,1594.17,29209
2023-04-12,1595.93,1598.67,1541.49,1542.77,51105
2023-04-13,1538.67,1572.26,1532.68,1571.67,29543
2023-04-14,1574.67,1581.67,1553.47,1562.09,21232
2023-04-17,1588.67,1601.67,1576.67,1601.67,30467
2023-04-18,1601.67,1617.67,1594.69,1606.67,18314
2023-04-19,1610.67,1614.17,1598.67,1607.67,14601
2023-04-20,1608.78,1613.67,1577.67,1590.55,19885
2023-04-21,1594.67,1596.75,1569.95,1574.14,18518
2023-04-24,1569.67,1570.67,1549.67,1553.67,20231
2023-04-25,1554.67,1584.65,1550.67,1579.05,20583
2023-04-26,1592.67,1609.67,1568.67,1592.58,27892
2023-04-27,1596.67,1618.67,1578.67,1606.59,25605
2023-04-28,1611.68,1631.44,1602.64,1609.19,26225
2023-05-04,1617.67,1626.34,1584.67,1598.57,27466
2023-05-05,1614.67,1614.67,1585.06,1598.67,20714
2023-05-08,1616.99,1617.67,1565.84,1569.19,33171
2023-05-09,1563.67,1588.65,1555.74,1570.67,29378
2023-05-10,1563.86,1584.67,1563.67,1573.67,20773
2023-05-11,1579.67,1583.67,1563.67,1565.74,15246
2023-05-12,1563.67,1578.55,1553.68,1555.07,19460
2023-05-15,1550.67,1565.67,1539.87,1564.97,25740
2023-05-16,1562.66,1568.66,1545.67,1551.96,22224
2023-05-17,1556.67,1561.67,1547.68,1549.67,16777
2023-05-18,1553.66,1554.07,1538.67,1539.67,19219
2023-05-19,1519.67,1553.0,1504.22,1548.17,26741
2023-05-22,1538.68,1600.67,1538.67,1594.67,41284
2023-05-23,1602.66,1602.67,1573.22,1573.22,16894
2023-05-24,1581.0,1582.22,1558.78,1559.57,18479
2023-05-25,1554.66,1558.67,1538.67,1549.67,22466
2023-05-26,1550.67,1553.67,1523.68,1539.23,18291
2023-05-29,1545.67,1547.02,1526.67,1537.67,17771
2023-05-30,1537.67,1547.56,1507.23,1516.96,26453
2023-05-31,1509.68,1514.39,1475.34,1477.57,36957
2023-06-01,1466.67,1523.66,1466.67,1484.59,28645
2023-06-02,1493.67,1521.82,1484.78,1519.27,25058
2023-06-05,1514.83,1531.55,1511.67,1513.67,16201
2023-06-06,1518.67,1532.67,1500.22,1515.66,19914
2023-06-07,1521.66,1527.47,1498.67,1499.57,17890
2023-06-08,1504.5,1523.67,1498.68,1516.67,14703
2023-06-09,1520.66,1526.64,1514.67,1514.67,17580
2023-06-12,1514.69,1556.67,1510.19,1544.67,27029
2023-06-13,1542.55,1553.28,1533.67,1547.67,14663
2023-06-14,1567.67,1582.91,1554.88,1575.55,31506
2023-06-15,1579.01,1604.32,1571.67,1603.67,25223
2023-06-16,1605.67,1648.67,1598.77,1646.36,37918
2023-06-19,1638.67,1646.62,1586.67,1592.67,31700
2023-06-20,1588.67,1613.67,1583.67,1592.13,20947
2023-06-21,1588.67,1605.27,1583.67,1584.5,17721
2023-06-26,1568.78,1578.67,1543.67,1557.67,23993
2023-06-27,1558.66,1568.37,1548.76,1559.72,15174
2023-06-28,1561.85,1582.67,1559.67,1577.05,18574
2023-06-29,1579.67,1583.66,1561.68,1562.38,14231
2023-06-30,1574.58,1583.57,1561.06,1565.58,20459
2023-07-03,1573.58,1599.86,1566.58,1598.68,19139
2023-07-04,1598.78,1609.02,1592.66,1605.18,12472
2023-07-05,1604.58,1606.55,1574.58,1589.96,14745
2023-07-06,1583.74,1607.58,1574.58,1577.56,15141
2023-07-07,1575.58,1583.57,1564.58,1564.61,15167
2023-07-10,1579.58,1589.54,1574.58,1575.48,13477
2023-07-11,1584.58,1589.75,1576.68,1584.58,12583
2023-07-12,1587.62,1597.58,1585.91,1588.38,13285
2023-07-13,1596.57,1619.99,1593.59,1612.98,25807
2023-07-14,1630.58,1633.08,1615.78,1627.58,18550
2023-07-17,1625.58,1625.58,1601.18,1604.55,14336
2023-07-18,1608.16,1609.09,1595.58,1597.38,14738
2023-07-19,1589.59,1602.58,1588.38,1597.58,12483
2023-07-20,1602.57,1623.56,1596.58,1598.58,16693
2023-07-21,1606.46,1647.08,1600.58,1645.88,39377
2023-07-24,1625.1,1645.73,1625.1,1645.73,19713
2023-07-25,1674.58,1703.46,1674.57,1703.13,43086
2023-07-26,1703.13,1710.57,1689.66,1703.13,19611
2023-07-27,1710.58,1729.37,1703.28,1712.61,20340
2023-07-28,1706.58,1774.58,1702.59,1771.58,39018
2023-07-31,1782.58,1809.58,1748.58,1755.16,45379
2023-08-01,1752.59,1781.53,1752.47,1763.58,19231
2023-08-02,1757.98,1764.58,1741.38,1754.58,18509
2023-08-03,1744.58,1764.58,1725.08,1753.05,21543
2023-08-04,1762.4,1781.1,1756.58,1768.05,24574
2023-08-07,1755.53,1772.58,1745.61,1762.51,23892
2023-08-08,1754.61,1768.29,1738.66,1764.58,17736
2023-08-09,1764.58,1779.58,1757.54,1764.86,18523
2023-08-10,1756.58,1763.58,1736.88,1749.58,18436
2023-08-11,1759.58,1759.98,1708.46,1708.58,26786
2023-08-14,1684.58,1699.56,1670.58,1677.58,23731
2023-08-15,1683.58,1692.58,1675.59,1687.56,14818
2023-08-16,1682.16,1697.93,1680.58,1694.58,13184
2023-08-17,1680.66,1708.58,1676.13,1702.63,17290
2023-08-18,1706.57,1709.57,1677.17,1677.17,17023
2023-08-21,1667.58,1688.57,1664.65,1665.58,18912
2023-08-22,1675.57,1677.14,1645.6,1662.58,26650
2023-08-23,1671.58,1674.58,1644.66,1648.58,19912
2023-08-24,1654.2,1702.58,1649.58,1690.88,26055
2023-08-25,1683.37,1712.35,1680.59,1699.56,18831
2023-08-28,1773.16,1773.16,1706.46,1709.55,41052
2023-08-29,1702.58,1743.66,1702.58,1725.91,28950
2023-08-30,1742.48,1742.58,1718.24,1730.58,19812
2023-08-31,1734.58,1734.58,1715.59,1721.58,14820
2023-09-01,1727.41,1740.05,1720.61,1725.63,13145
2023-09-04,1737.18,1754.52,1728.11,1740.58,23871
2023-09-05,1742.58,1742.58,1731.38,1733.28,15659
2023-09-06,1732.58,1741.24,1723.59,1735.58,11121
2023-09-07,1727.18,1731.47,1705.77,1712.58,16982
2023-09-08,1709.52,1709.52,1689.53,1693.08,12212
2023-09-11,1682.58,1714.58,1682.58,1696.75,15926
2023-09-12,1701.18,1701.56,1690.6,1694.54,12168
2023-09-13,1704.5,1704.5,1674.63,1694.49,19501
2023-09-14,1697.11,1701.56,1680.58,1693.27,17505
2023-09-15,1693.58,1694.36,1655.88,1656.57,28431
2023-09-18,1650.89,1704.08,1647.58,1703.78,32559
2023-09-19,1696.78,1703.58,1682.58,1701.52,14990
2023-09-20,1696.58,1704.58,1692.63,1698.58,12502
2023-09-21,1692.59,1696.58,1672.97,1672.97,19489
2023-09-22,1680.21,1724.54,1666.99,1723.58,34390
2023-09-25,1722.08,1722.58,1701.17,1706.96,13979
2023-09-26,1702.58,1709.46,1687.68,1690.58,15762
2023-09-27,1689.58,1708.08,1677.38,1688.58,20880
2023-09-28,1699.56,1699.56,1672.38,1673.13,20538
2023-10-09,1671.52,1671.52,1639.48,1651.58,29763
2023-10-10,1657.47,1673.56,1642.58,1644.58,20284
2023-10-11,1659.23,1659.23,1642.58,1653.08,21945
2023-10-12,1672.48,1672.81,1651.78,1660.58,14865
2023-10-13,1645.46,1652.59,1612.77,1625.58,25028
2023-10-16,1625.56,1630.58,1597.03,1604.48,20790
2023-10-17,1613.58,1614.02,1590.58,1600.58,14945
2023-10-18,1593.38,1616.58,1591.76,1602.58,20318
2023-10-19,1574.58,1574.61,1500.61,1504.58,73492
2023-10-20,1504.58,1529.58,1490.83,1519.58,45376
2023-10-23,1504.55,1534.58,1496.18,1518.56,25234
2023-10-24,1522.58,1527.94,1495.79,1517.53,29861
2023-10-25,1544.69,1572.58,1541.6,1552.08,36179
2023-10-26,1541.58,1562.58,1536.59,1546.81,22386
2023-10-27,1538.58,1566.46,1535.18,1551.29,34262
2023-10-30,1543.58,1563.46,1543.58,1555.58,24086
2023-10-31,1554.58,1564.58,1542.43,1559.16,19859
2023-11-01,1724.58,1724.58,1648.37,1655.57,93143
2023-11-02,1669.58,1669.58,1650.64,1654.08,27908
2023-11-03,1654.58,1689.47,1648.58,1685.82,30176
2023-11-06,1694.58,1698.37,1675.7,1686.58,25524
2023-11-07,1679.58,1684.58,1658.66,1665.75,19582
2023-11-08,1658.63,1678.38,1657.45,1672.92,14546
2023-11-09,1664.69,1673.58,1657.58,1668.69,12800
2023-11-10,1655.13,1662.58,1647.68,1650.42,16466
2023-11-13,1646.86,1659.46,1631.56,1638.58,18370
2023-11-14,1638.58,1649.57,1634.59,1639.85,12817
2023-11-15,1653.58,1657.47,1641.58,1647.51,18435
2023-11-16,1648.58,1650.58,1634.63,1634.63,12558
2023-11-17,1626.58,1633.58,1612.48,1628.0,21714
2023-11-20,1629.58,1644.08,1611.24,1637.08,18608
2023-11-21,1658.0,1672.58,1644.68,1664.58,30098
2023-11-22,1657.88,1668.93,1655.12,1656.09,12665
2023-11-23,1652.88,1662.58,1645.58,1660.58,11550
2023-11-24,1663.58,1663.58,1649.58,1651.58,13085
2023-11-27,1647.88,1647.88,1629.58,1637.58,16261
2023-11-28,1635.58,1648.46,1632.58,1643.62,14520
2023-11-29,1642.58,1650.58,1632.58,1649.29,17149
2023-11-30,1651.3,1669.34,1645.66,1666.08,21353
2023-12-01,1663.89,1664.28,1622.58,1634.86,33051
2023-12-04,1634.86,1636.41,1619.86,1625.29,18440
2023-12-05,1623.36,1623.46,1582.6,1583.58,29903
2023-12-06,1577.21,1594.05,1575.71,1577.58,23851
2023-12-07,1578.58,1583.66,1561.88,1574.58,25042
2023-12-08,1574.58,1583.42,1566.8,1579.5,26288
2023-12-11,1564.58,1578.58,1531.58,1572.58,36831
2023-12-12,1562.18,1584.57,1558.58,1584.57,21011
2023-12-13,1579.8,1580.3,1531.66,1534.58,38789
2023-12-14,1540.54,1544.45,1509.6,1510.48,40672
2023-12-15,1522.81,1552.35,1518.59,1519.58,37093
2023-12-18,1514.58,1537.91,1509.58,1536.58,19897
2023-12-19,1539.58,1554.45,1519.67,1549.58,22207
2023-12-20,1551.68,1553.68,1536.68,1543.47,23092
2023-12-21,1533.69,1566.0,1533.69,1563.68,29012
2023-12-22,1563.38,1572.78,1551.69,1564.33,21667
2023-12-25,1564.68,1572.28,1561.68,1565.68,12471
2023-12-26,1566.18,1568.58,1551.18,1563.68,14771
2023-12-27,1561.68,1570.83,1554.68,1560.74,16056
2023-12-28,1564.67,1621.67,1560.74,1618.67,38338
2023-12-29,1613.68,1643.26,1613.68,1619.68,27539
